0.008:-254.738,836.36;-387.066,-851.68;629.932,969.176;177.709,-672.475;306.619,-45.503;-766.411,218.543;973.205,475.509;-970.214,-454.329;-461.287,-340.617;-583.728,-315.958;-772.332,-984.924;-159.52,418.927;-233.497,624.378;-354.839,803.217;839.167,-475.753;-145.787,549.364;499.863,-781.426;634.205,395.001;-769.097,255.959;-380.474,-122.715;-668.264,811.335;-711.966,-43.489;327.86,-790.521;574.999,923.398;86.886,-673.147;912.9,-969.97;329.203,810.297;-115.268,280.74;220.191,-950.926;677.541,820.185;732.536,839.29;524.827,357.158;-534.959,676.138;324.259,60.946;606.738,-386.944;619.068,-632.618;-268.105,-374.92;129.795,-866.756;115.818,-586.901;24.812,-424.787;256.569,587.023;116.123,431.867;-707.877,165.746;168.981,-214.331;-1.129,330.912;511.704,982.666;59.969,-628.285;-865.902,87.252;-709.281,759.209;-538.072,-690.237;
0.129:-255.499,834.877;-387.815,-850.191;630.74,970.634;179.281,-671.921;307.973,-44.53;-767.912,219.267;974.471,474.425;-968.725,-453.581;-459.637,-340.848;-582.526,-314.803;-772.19,-983.263;-158.587,420.308;-234.964,625.169;-353.433,804.112;837.773,-474.841;-147.137,550.341;498.873,-780.085;635.003,396.464;-767.804,254.907;-379.95,-121.133;-668.11,809.675;-710.75,-44.628;328.577,-792.025;573.776,922.266;88.553,-673.145;914.113,-971.113;330.868,810.231;-114.088,281.916;218.876,-951.95;676.591,818.816;733.504,837.933;523.165,357.281;-536.599,676.431;325.067,59.488;606.245,-385.352;619.184,-634.281;-269.061,-373.555;131.094,-867.801;114.155,-587.016;23.487,-425.799;258.233,587.112;117.465,432.856;-708.676,167.208;170.638,-214.157;-1.944,329.458;513.363,982.504;60.662,-629.8;-864.659,88.363;-709.768,757.615;-536.699,-689.293;
0.139:-258.539,828.953;-390.805,-844.241;633.967,976.459;185.56,-669.704;313.379,-40.643;-774.555,219.518;979.53,470.096;-962.775,-450.591;-453.042,-341.773;-577.725,-310.189;-771.622,-976.629;-154.856,425.824;-240.825,628.329;-347.817,807.69;832.199,-471.197;-152.532,554.243;494.92,-774.727;638.191,402.31;-762.374,251.079;-377.855,-114.812;-667.496,803.044;-705.888,-49.178;331.442,-798.036;568.891,917.741;95.161,-672.313;918.96,-975.679;337.522,809.966;-109.029,286.249;213.62,-956.039;672.796,813.344;737.373,832.514;516.524,357.772;-543.154,677.605;328.293,53.663;604.275,-378.991;619.648,-640.923;-272.882,-368.101;136.282,-871.975;107.756,-588.862;18.197,-429.843;264.883,587.466;122.826,436.805;-711.87,173.051;177.261,-213.461;-5.199,323.65;519.992,981.855;64.317,-635.369;-859.695,92.801;-711.716,751.247;-531.213,-685.519;
0.147:-259.645,827.464;-391.634,-842.594;634.861,978.072;187.299,-669.09;314.703,-39.344;-776.397,219.587;980.931,468.897;-961.127,-449.763;-451.203,-342.033;-576.396,-308.911;-771.465,-974.791;-153.823,427.352;-242.449,629.204;-346.262,808.681;830.656,-470.188;-154.027,555.324;493.825,-773.243;639.074,403.929;-760.783,250.286;-377.275,-113.062;-667.468,801.201;-704.541,-50.438;331.915,-799.829;567.265,916.869;96.899,-671.677;920.302,-976.944;339.365,809.893;-107.628,287.449;212.165,-957.171;671.745,811.829;738.445,831.013;514.685,357.909;-544.969,677.93;329.187,52.05;603.729,-377.23;619.485,-642.771;-273.94,-366.591;137.719,-873.131;105.984,-589.373;16.732,-430.963;266.724,587.564;124.311,437.899;-713.037,174.47;179.095,-213.268;-6.477,322.319;521.787,981.387;65.657,-636.568;-858.32,94.03;-712.255,749.484;-529.693,-684.474;
0.155:-260.608,826.167;-392.359,-841.151;635.644,979.484;188.822,-668.553;315.856,-38.212;-777.891,219.08;982.158,467.847;-959.684,-449.037;-449.585,-342.261;-575.232,-307.792;-771.328,-973.182;-152.919,428.689;-243.87,629.97;-344.9,809.548;829.304,-469.304;-155.335,556.271;492.867,-771.944;639.847,405.347;-759.337,249.734;-376.767,-111.529;-667.443,799.587;-703.362,-51.541;332.326,-801.391;565.842,916.106;98.415,-671.121;921.477,-978.051;340.978,809.829;-106.311,288.413;210.89,-958.163;670.824,810.503;739.383,829.699;513.075,358.028;-546.559,678.214;329.969,50.637;603.251,-375.688;619.343,-644.38;-274.866,-365.268;138.977,-874.143;104.433,-589.82;15.449,-431.944;268.337,587.65;125.611,438.857;-714.062,175.717;180.701,-213.099;-7.596,321.154;523.35,980.978;67.07,-637.244;-857.116,95.106;-712.727,747.94;-528.363,-683.558;
0.164:-261.56,824.885;-393.076,-839.725;636.417,980.88;190.327,-668.022;316.996,-37.094;-779.399,218.567;983.371,466.809;-958.258,-448.321;-447.978,-342.484;-574.081,-306.686;-771.191,-971.592;-152.025,430.011;-245.275,630.728;-343.471,810.312;827.968,-468.431;-156.628,557.206;491.919,-770.659;640.612,406.748;-757.867,249.358;-376.265,-110.014;-667.418,797.991;-702.197,-52.632;332.733,-802.934;564.436,915.352;99.914,-670.572;922.639,-979.146;342.573,809.765;-105.258,289.631;209.631,-959.143;669.914,809.191;740.311,828.4;511.483,358.145;-548.13,678.496;330.743,49.241;602.779,-374.163;619.203,-645.97;-275.995,-364.112;140.22,-875.144;103.021,-590.594;14.181,-432.913;269.931,587.735;126.896,439.803;-715.076,176.95;182.288,-212.932;-8.702,320.003;524.894,980.575;68.536,-637.817;-855.926,96.17;-713.194,746.414;-527.048,-682.654;
0.172:-262.499,823.621;-393.783,-838.318;637.18,982.258;191.812,-667.497;318.12,-35.992;-780.89,218.06;984.567,465.785;-956.851,-447.614;-446.384,-342.701;-572.945,-305.595;-771.057,-970.023;-151.142,431.316;-246.661,631.475;-342.08,811.056;826.65,-467.569;-157.904,558.129;490.984,-769.392;641.366,408.131;-756.35,248.97;-375.769,-108.519;-667.394,796.417;-701.047,-53.708;333.134,-804.457;563.048,914.607;101.393,-670.031;923.785,-980.226;344.146,809.703;-104.228,290.823;208.388,-960.11;669.017,807.897;741.226,827.118;509.912,358.262;-549.68,678.773;331.506,47.863;602.313,-372.659;619.065,-647.539;-277.096,-362.983;141.447,-876.131;101.907,-591.583;12.93,-433.869;271.503,587.818;128.164,440.737;-716.076,178.166;183.854,-212.768;-9.792,318.867;526.418,980.177;69.883,-638.228;-854.752,97.219;-713.655,744.908;-525.75,-681.761;
0.181:-263.438,822.358;-394.49,-836.911;637.943,983.635;193.296,-666.973;319.243,-34.889;-782.38,217.554;985.763,464.761;-955.445,-446.907;-444.779,-342.914;-571.81,-304.504;-770.923,-968.454;-149.945,432.343;-248.047,632.222;-340.691,811.798;825.332,-466.708;-159.18,559.052;490.049,-768.125;642.119,409.513;-754.892,248.473;-375.274,-107.025;-667.37,794.842;-699.898,-54.784;333.535,-805.979;561.661,913.863;102.778,-669.701;924.931,-981.305;345.72,809.64;-103.198,292.014;207.145,-961.077;668.119,806.604;742.14,825.837;508.342,358.378;-551.23,679.051;332.269,46.486;601.847,-371.155;618.927,-649.107;-278.196,-361.856;142.674,-877.118;101.016,-592.889;11.923,-435.105;273.075,587.902;129.431,441.671;-717.076,179.382;185.42,-212.603;-10.883,317.732;527.722,979.531;71.245,-638.577;-853.578,98.269;-714.115,743.402;-524.453,-680.869;
0.189:-264.091,821.167;-395.174,-835.551;638.681,984.967;194.732,-666.467;320.33,-33.823;-783.822,217.064;986.92,463.771;-954.084,-446.223;-443.214,-343.115;-570.713,-303.448;-770.793,-966.937;-148.789,433.335;-249.387,632.945;-339.253,812.432;824.058,-465.875;-160.413,559.944;489.145,-766.9;642.848,410.849;-753.456,247.985;-374.795,-105.579;-667.346,793.32;-698.786,-55.824;333.923,-807.452;560.319,913.143;104.232,-669.355;926.039,-982.349;347.241,809.58;-102.202,293.166;205.944,-962.012;667.252,805.353;743.025,824.598;506.824,358.49;-552.729,679.319;333.006,45.154;601.397,-369.7;618.793,-650.624;-279.26,-360.767;143.86,-878.072;100.522,-594.231;10.959,-436.288;274.596,587.983;130.657,442.574;-718.162,180.518;186.934,-212.444;-11.937,316.634;529.047,978.714;72.562,-639.163;-852.443,99.283;-714.561,741.946;-523.199,-680.006;
0.198:-264.791,819.892;-395.844,-834.218;639.404,986.272;196.139,-665.97;321.395,-32.778;-785.234,216.584;988.053,462.801;-952.751,-445.553;-441.666,-343.307;-569.637,-302.415;-770.666,-965.451;-147.657,434.306;-250.7,633.653;-337.88,813.038;822.809,-465.058;-161.622,560.819;488.26,-765.699;643.563,412.159;-752.107,247.683;-374.326,-104.163;-667.323,791.828;-697.697,-56.844;334.304,-808.894;559.302,912.222;105.678,-669.011;927.125,-983.372;348.732,809.52;-101.226,294.294;204.766,-962.928;666.401,804.127;743.892,823.383;505.336,358.6;-554.197,679.582;333.729,43.849;600.955,-368.275;618.662,-652.11;-280.302,-359.699;145.023,-879.007;100.589,-595.537;10.016,-437.445;276.085,588.062;131.858,443.459;-719.2,181.602;188.417,-212.025;-12.971,315.558;530.306,977.725;73.924,-639.382;-851.331,100.278;-714.997,740.52;-521.97,-679.161;
