21.928:-987.572,-52.157;968.164,796.492;-978.221,-1.309;-379.95,1,120.947;-354.686,1,185.97;930.855,814.506;-1,014.519,-669.598;-1,001.142,50.592;954.326,234.77;983.955,841.452;671.21,1,030.663;900.953,226.082;1,016.78,819.418;-1,081.796,-55.113;-1,021.547,-49.751;1,042.75,807.513;1,041.874,792.035;934.624,847.483;917.71,793.406;1,002.784,769.034;-325.831,1,168.511;1,044.878,761.715;-945.7,-61.174;1,000.941,748.584;-1,019.434,-15.774;930.902,287.637;1,034.265,837.057;-952.996,-5.299;-392.259,1,156.545;1,001.683,861.979;-1,100.408,-140.511;-336.796,1,240.474;946.914,765.102;989.654,733.045;-927.849,27.789;-1,033.286,-61.66;959.08,776.396;-409.356,1,184.968;1,003.561,779.705;-447.686,1,166.518;-456.689,1,234.594;971.764,835.177;-976.308,-95.217;963.469,793.129;-1,032.28,-4.036;974.566,812.948;-1,041.401,-89.181;996.551,274.279;-422.415,1,213.256;1,010.144,801.756;
21.939:-987.155,-54.225;968.515,798.56;-977.607,-3.328;-381.219,1,119.261;-356.784,1,185.746;931.385,816.549;-1,012.591,-670.456;-1,000.024,48.802;955.916,236.158;983.933,843.562;669.99,1,028.941;902.542,227.469;1,015.999,821.379;-1,081.163,-57.126;-1,021.268,-51.842;1,043.298,809.552;1,042.04,794.139;934.881,849.577;918.032,795.491;1,003.459,770.979;-327.928,1,168.278;1,045.4,763.76;-945.733,-63.284;1,001.47,750.627;-1,018.409,-17.619;932.492,289.024;1,034.284,839.167;-951.931,-7.121;-394.308,1,156.038;1,001.202,864.034;-1,100.034,-142.587;-338.907,1,240.466;947.343,767.168;990.34,735.041;-926.807,25.954;-1,032.018,-63.347;959.79,778.383;-411.354,1,184.289;1,003.191,781.831;-449.771,1,166.191;-458.681,1,233.897;971.763,837.288;-976.531,-97.316;963.685,795.178;-1,031.432,-5.968;975.051,815.002;-1,040.746,-91.187;998.141,275.666;-424.516,1,213.062;1,011.141,803.616;
21.95:-986.719,-56.386;968.889,800.774;-977.273,-5.507;-382.476,1,117.45;-358.976,1,185.512;931.804,818.713;-1,010.577,-671.352;-998.81,46.962;957.577,237.608;983.451,845.713;668.716,1,027.142;904.203,228.919;1,015.182,823.426;-1,080.055,-59.032;-1,020.962,-54.026;1,043.76,811.707;1,042.06,796.343;935.084,851.772;918.352,797.672;1,004.301,773.016;-330.119,1,168.035;1,046.31,765.768;-945.681,-65.488;1,001.988,752.769;-1,017.207,-19.467;934.153,290.474;1,034.226,841.371;-950.877,-9.057;-396.432,1,155.449;1,000.7,866.181;-1,099.642,-144.757;-341.11,1,240.41;947.851,769.313;990.99,737.147;-925.76,24.014;-1,030.885,-65.238;960.553,780.451;-413.539,1,183.999;1,002.775,783.996;-451.935,1,165.771;-460.761,1,233.168;972.294,839.427;-976.765,-99.508;964.146,797.211;-1,030.686,-8.043;975.096,817.205;-1,040.062,-93.282;999.802,277.116;-426.711,1,212.86;1,011.596,805.773;
21.961:-986.279,-58.589;969.411,803.018;-977.062,-7.743;-383.694,1,115.562;-361.21,1,185.274;931.836,820.959;-1,008.524,-672.265;-997.567,45.09;959.27,239.085;983.505,847.959;667.417,1,025.309;905.896,230.396;1,014.86,825.65;-1,078.88,-60.947;-1,020.658,-56.252;1,042.679,813.676;1,042.329,798.574;935.26,854.012;918.727,799.888;1,004.589,775.245;-332.352,1,167.787;1,046.933,767.926;-945.853,-67.728;1,002.483,754.961;-1,016.011,-21.369;935.845,291.951;1,034.465,843.605;-950.005,-11.128;-398.588,1,154.816;1,000.189,868.369;-1,099.244,-146.968;-343.355,1,240.315;948.261,771.522;991.502,739.335;-924.364,22.254;-1,030.42,-67.436;961.32,782.563;-415.669,1,183.283;1,001.946,786.084;-454.127,1,165.279;-462.882,1,232.426;972.749,841.627;-976.863,-101.752;964.623,799.242;-1,030.329,-10.261;975.551,819.406;-1,039.364,-95.418;1,001.495,278.593;-428.948,1,212.655;1,011.321,808.003;
21.972:-985.926,-60.673;969.737,805.111;-976.816,-9.842;-384.79,1,113.755;-363.312,1,185.049;931.602,823.06;-1,006.594,-673.125;-996.459,43.29;960.862,240.474;983.151,850.043;666.195,1,023.585;907.488,231.786;1,014.618,827.749;-1,078.26,-62.967;-1,020.48,-58.358;1,042.173,815.728;1,042.392,800.686;935.301,856.125;919.018,801.981;1,004.4,777.35;-334.453,1,167.553;1,047.359,769.996;-945.918,-69.84;1,002.916,757.03;-1,014.966,-23.206;937.438,293.341;1,034.993,845.652;-949.303,-13.121;-400.597,1,154.161;999.708,870.427;-1,098.868,-149.048;-345.468,1,240.31;948.691,773.592;991.893,741.412;-923.202,20.489;-1,029.966,-69.5;961.978,784.572;-417.763,1,182.994;1,000.964,787.955;-456.178,1,164.769;-464.876,1,231.727;972.622,843.737;-976.826,-103.865;964.812,801.267;-1,029.611,-12.249;975.649,821.517;-1,038.708,-97.427;1,003.087,279.983;-431.053,1,212.461;1,010.917,810.078;
21.983:-985.637,-62.824;969.987,807.302;-976.518,-11.992;-386.23,1,112.132;-365.469,1,184.819;930.989,825.141;-1,004.611,-674.007;-995.258,41.482;962.497,241.901;983.242,852.211;664.94,1,021.814;909.123,233.213;1,014.49,829.916;-1,077.146,-64.83;-1,019.899,-60.448;1,041.616,817.826;1,042.697,802.835;935.284,858.295;919.275,804.136;1,004.641,779.506;-336.61,1,167.314;1,047.791,772.123;-945.922,-72.01;1,003.35,759.156;-1,013.78,-25.023;939.073,294.768;1,033.953,847.556;-948.592,-15.172;-402.654,1,153.47;999.214,872.54;-1,098.483,-151.183;-347.638,1,240.258;949.173,775.708;992.246,743.553;-922.1,18.62;-1,029.268,-71.555;962.523,786.672;-419.816,1,182.294;1,000.152,789.968;-458.274,1,164.206;-466.924,1,231.01;972.471,845.902;-976.69,-106.031;965.191,803.272;-1,029.248,-14.388;975.962,823.664;-1,038.035,-99.49;1,004.722,281.41;-433.214,1,212.262;1,010.069,812.075;
21.994:-985.183,-65.034;970.239,809.576;-976.148,-14.218;-387.599,1,110.338;-367.713,1,184.58;930.831,827.392;-1,002.55,-674.924;-994.069,39.565;964.197,243.385;982.753,854.414;663.636,1,019.973;910.823,234.696;1,014.65,832.166;-1,076.447,-66.975;-1,019.44,-62.657;1,040.945,819.98;1,042.702,805.091;935.092,860.543;919.533,806.377;1,004.481,781.757;-338.852,1,167.065;1,048.165,774.348;-945.867,-74.266;1,003.775,761.372;-1,012.616,-26.956;940.773,296.251;1,032.106,848.852;-947.864,-17.307;-404.762,1,152.664;998.7,874.737;-1,098.083,-153.404;-349.892,1,240.164;949.584,777.926;992.588,745.784;-921.077,16.608;-1,027.933,-73.374;962.964,788.885;-422.048,1,181.957;999.098,791.963;-460.444,1,163.588;-469.054,1,230.264;972.219,848.144;-976.445,-108.274;965.377,805.447;-1,028.439,-16.494;976.325,825.891;-1,037.334,-101.635;1,006.422,282.893;-435.461,1,212.056;1,009.158,814.139;
22.006:-984.689,-67.125;970.386,811.732;-975.902,-16.351;-388.793,1,108.553;-369.81,1,184.114;930.338,829.483;-1,000.587,-675.798;-992.869,37.783;965.815,244.797;982.726,856.562;662.394,1,018.22;912.442,236.109;1,014.874,834.302;-1,075.87,-69.044;-1,019.055,-64.771;1,040.066,821.94;1,042.926,807.227;934.543,862.62;919.737,808.516;1,004.415,783.904;-340.987,1,166.828;1,048.442,776.478;-945.927,-76.413;1,004.143,763.488;-1,011.61,-28.854;942.391,297.664;1,030.567,850.351;-947.196,-19.349;-406.747,1,151.844;998.211,876.828;-1,097.702,-155.518;-352.035,1,240.021;949.984,780.036;992.863,747.914;-919.805,14.877;-1,026.822,-75.212;962.891,791.032;-424.073,1,181.243;998.392,793.991;-462.503,1,162.976;-471.081,1,229.554;971.926,850.272;-976.734,-110.402;965.807,807.488;-1,028.049,-18.607;976.834,827.978;-1,036.667,-103.677;1,008.04,284.306;-437.6,1,211.859;1,008.238,816.08;
22.018:-984.174,-69.497;970.596,814.165;-975.571,-18.756;-390.401,1,106.734;-372.17,1,183.548;929.365,831.707;-998.37,-676.785;-991.618,35.703;967.644,246.393;982.15,858.919;660.991,1,016.24;914.271,237.705;1,014.18,836.629;-1,075.041,-71.326;-1,018.697,-67.172;1,039.464,824.291;1,042.915,809.655;933.976,864.98;919.985,810.93;1,004.093,786.31;-343.4,1,166.56;1,048.326,778.903;-945.876,-78.84;1,004.53,765.884;-1,010.276,-30.882;944.22,299.26;1,029.057,852.252;-946.44,-21.655;-409.161,1,151.584;997.658,879.192;-1,097.271,-157.907;-354.461,1,239.94;950.359,782.435;992.9,750.341;-918.533,12.81;-1,026.333,-77.59;962.866,793.459;-426.486,1,180.98;997.325,796.172;-464.822,1,162.261;-473.372,1,228.752;971.482,852.658;-976.9,-112.824;965.994,809.876;-1,027.163,-20.867;976.95,830.402;-1,035.914,-105.984;1,009.869,285.902;-440.017,1,211.637;1,007.097,818.223;
22.029:-983.316,-71.853;970.676,816.673;-975.071,-21.214;-391.978,1,104.784;-374.616,1,182.992;928.166,833.909;-996.078,-677.805;-990.229,33.615;969.534,248.042;982.031,861.424;659.541,1,014.193;916.16,239.354;1,013.865,839.117;-1,074.177,-73.68;-1,018.444,-69.667;1,038.684,826.675;1,043.143,812.152;933.048,867.31;920.143,813.433;1,004.057,788.817;-345.892,1,166.283;1,048.394,781.41;-946.052,-81.342;1,004.904,768.364;-1,009.166,-33.13;946.109,300.909;1,027.744,854.388;-945.669,-24.042;-411.553,1,150.833;997.087,881.634;-1,096.825,-160.375;-356.965,1,239.788;950.683,784.922;992.699,752.841;-917.309,10.621;-1,025.785,-80.037;962.891,795.967;-428.982,1,180.734;996.692,798.598;-467.213,1,161.505;-475.739,1,227.923;970.991,855.117;-976.903,-115.332;966.462,812.322;-1,026.719,-23.335;977.183,832.899;-1,035.135,-108.368;1,011.759,287.551;-442.514,1,211.407;1,005.93,820.442;
22.041:-982.639,-73.937;970.987,818.865;-974.853,-23.394;-393.248,1,102.999;-376.706,1,182.334;926.927,835.717;-994.076,-678.696;-989.119,31.726;971.185,249.483;981.738,863.596;658.275,1,012.405;917.811,240.795;1,013.645,841.297;-1,073.425,-75.739;-1,018.33,-71.855;1,037.705,828.635;1,043.159,814.344;932.331,869.381;920.194,815.624;1,003.806,790.994;-348.005,1,165.7;1,047.139,783.206;-946.046,-83.533;1,004.963,770.555;-1,008.068,-35.028;947.76,302.35;1,026.71,856.32;-945.009,-26.132;-413.634,1,150.143;996.589,883.768;-1,096.436,-162.531;-359.144,1,239.555;950.907,787.102;992.328,755.001;-916.323,8.664;-1,024.999,-82.083;962.729,798.152;-431.165,1,180.538;996.562,800.786;-469.299,1,160.831;-477.807,1,227.199;970.19,857.157;-976.768,-117.519;966.868,814.4;-1,025.974,-25.396;977.773,835.01;-1,034.455,-110.451;1,013.41,288.992;-444.623,1,210.81;1,005.41,822.571;
22.053:-981.912,-76.212;971.28,821.25;-974.392,-25.737;-394.534,1,100.987;-379.009,1,181.705;925.362,837.52;-991.895,-679.666;-987.912,29.666;972.984,251.053;981.792,865.983;656.894,1,010.457;919.61,242.365;1,013.52,843.681;-1,072.62,-77.986;-1,017.703,-74.159;1,037.157,830.959;1,041.884,816.362;931.592,871.651;920.256,818.011;1,003.565,793.37;-350.299,1,165.038;1,046.234,785.415;-945.985,-85.92;1,004.816,772.938;-1,006.953,-37.138;949.559,303.92;1,025.72,858.493;-944.291,-28.408;-415.884,1,149.347;996.045,886.093;-1,096.013,-164.881;-361.523,1,239.36;951.168,789.475;991.893,757.348;-914.917,6.734;-1,023.73,-84.105;962.727,800.54;-433.542,1,180.311;995.947,803.093;-471.571,1,160.097;-480.061,1,226.41;969.731,859.5;-976.511,-119.893;966.837,816.781;-1,025.684,-27.766;977.849,837.396;-1,034.2,-112.825;1,015.209,290.562;-446.91,1,210.125;1,004.568,824.805;
22.064:-981.192,-78.374;971.486,823.519;-974.214,-28.009;-396.027,1,099.266;-381.231,1,181.196;924.121,839.431;-989.813,-680.593;-986.778,27.689;974.7,252.551;981.278,868.203;655.577,1,008.598;921.327,243.863;1,013.636,845.957;-1,071.861,-80.135;-1,017.226,-76.387;1,036.738,833.199;1,040.834,818.385;930.953,873.838;920.243,820.289;1,003.426,795.644;-352.51,1,164.488;1,045.417,787.543;-946.043,-88.198;1,004.407,775.179;-1,005.858,-39.136;951.276,305.418;1,024.893,860.616;-943.627,-30.588;-418.031,1,148.583;995.526,888.312;-1,095.608,-167.123;-363.798,1,239.229;951.326,791.748;991.475,759.588;-913.745,4.78;-1,023.235,-86.329;962.621,802.816;-435.809,1,180.083;995.842,805.369;-473.739,1,159.397;-482.211,1,225.657;968.879,861.614;-976.818,-122.151;967.012,819.053;-1,025.698,-30.044;977.883,839.675;-1,034.067,-115.1;1,016.926,292.06;-449.085,1,209.444;1,004.047,827.024;
22.075:-980.572,-80.476;971.518,825.711;-973.848,-30.17;-397.622,1,097.763;-383.361,1,180.681;923.009,841.32;-987.811,-681.484;-985.695,25.784;976.352,253.993;981.156,870.392;654.31,1,006.809;922.978,245.304;1,013.896,848.133;-1,071.161,-82.212;-1,016.917,-78.557;1,036.43,835.369;1,039.833,820.335;930.351,875.946;920.211,822.481;1,003.579,797.831;-354.63,1,163.932;1,044.715,789.619;-945.968,-90.388;1,004.212,777.362;-1,004.887,-41.102;952.927,306.859;1,024.153,862.679;-942.994,-32.687;-419.862,1,147.378;995.027,890.446;-1,095.219,-169.28;-365.98,1,239.019;951.063,793.924;991.094,761.746;-912.705,2.851;-1,022.76,-88.469;962.519,805.005;-437.988,1,179.852;995.956,807.558;-475.825,1,158.723;-484.28,1,224.932;968.465,863.766;-976.961,-124.338;967.186,821.238;-1,025.908,-32.226;977.796,841.865;-1,033.939,-117.288;1,018.577,293.501;-451.169,1,208.768;1,003.3,829.084;
22.086:-979.967,-82.685;971.753,827.989;-973.404,-32.417;-399.29,1,096.192;-385.579,1,180.111;921.949,843.35;-985.718,-682.415;-984.585,23.78;978.078,255.499;980.634,872.622;652.986,1,004.94;924.704,246.81;1,013.699,850.415;-1,070.535,-84.415;-1,016.762,-80.842;1,036.097,837.635;1,038.768,822.362;929.771,878.162;920.099,824.769;1,003.252,800.098;-356.828,1,163.289;1,044.051,791.811;-946.093,-92.675;1,003.855,779.625;-1,003.855,-43.147;954.653,308.365;1,023.447,864.859;-942.33,-34.879;-421.807,1,146.168;994.506,892.676;-1,094.812,-171.535;-368.264,1,238.847;950.506,796.146;990.65,763.994;-911.621,0.833;-1,022.263,-90.705;962.42,807.294;-440.265,1,179.601;995.99,809.848;-478.004,1,158.019;-486.442,1,224.175;967.596,865.885;-977.016,-126.628;967.368,823.522;-1,026.21,-34.497;977.485,844.134;-1,033.805,-119.575;1,020.303,295.007;-453.342,1,208.043;1,002.772,831.313;
