0.008:322.611,-754.326;583.667,-397.809;-113.254,-249.794;-934.69,683.767;358.562,431.196;-262.123,-214.82;735.16,-906.674;44.893,785.516;307.413,925.169;446.028,156.407;-996.033,-781.915;-667.348,-35.188;-511.826,825.068;541.49,-917.356;947.142,543.138;-97.14,-708.853;-490.768,-389.264;262.307,-32.93;-771.416,505.6;-588.366,38.423;572.863,-770.135;368.267,897.519;352.702,-727.409;439.192,958.19;30.061,434.187;508.042,-454.878;343.242,702.078;981.933,803.217;-814.814,365.154;-163.671,-687.185;673.818,553.209;-805.231,101.047;350.749,-609.851;-118.687,733.573;447.005,-52.095;383.282,177.221;151.891,-811.579;-338.542,118.87;824.152,81.698;245.766,-571.032;-918.882,86.825;-946.959,-542.711;-294.778,184.24;365.642,848.323;-696.707,-354.167;407.147,-437.117;658.498,730.888;-46.541,795.709;709.952,495.529;416.73,473.434;
0.134:323.899,-755.384;582.679,-399.152;-114.261,-248.466;-933.307,684.696;357.419,429.983;-262.539,-213.206;736.693,-906.021;43.628,786.602;308.505,923.909;444.386,156.122;-994.551,-782.678;-665.691,-35.012;-510.359,824.277;542.603,-916.115;948.485,542.152;-97.481,-707.222;-489.784,-387.918;263.453,-31.72;-770.967,507.205;-587.447,37.033;572.916,-768.469;369.862,897.037;351.617,-726.144;439.35,956.531;31.524,434.984;508.443,-453.261;342.078,700.885;980.49,802.382;-814.458,363.526;-162.167,-686.467;672.935,554.623;-803.882,102.025;349.195,-610.453;-119.789,734.824;445.851,-50.892;381.696,176.709;151.57,-813.214;-336.88,118.748;825.768,81.289;247.121,-570.062;-918.404,85.229;-947.726,-541.231;-296.307,183.576;367.17,847.656;-697.986,-353.098;405.895,-438.217;659.448,732.257;-47.864,794.696;709.635,497.165;416.64,471.769;
0.143:329.046,-759.609;578.735,-404.517;-118.284,-243.159;-927.778,688.408;352.852,425.137;-264.197,-206.757;742.819,-903.408;38.576,790.94;313.391,919.386;437.86,154.8;-988.632,-785.728;-659.069,-34.31;-504.497,821.118;547.049,-911.158;953.853,538.211;-98.842,-700.704;-485.854,-382.543;268.032,-26.885;-769.171,513.617;-583.775,31.478;573.127,-761.813;376.476,896.268;347.607,-720.836;439.983,949.902;37.371,438.17;508.399,-446.602;337.429,696.118;974.727,799.047;-813.038,357.02;-156.158,-683.597;669.407,560.27;-798.492,105.936;343.635,-614.119;-124.193,739.818;441.241,-46.087;375.36,174.661;150.287,-819.748;-330.239,118.261;832.223,79.655;252.538,-566.19;-916.493,78.85;-950.791,-535.319;-302.414,180.922;373.272,844.991;-703.094,-348.827;400.893,-442.611;663.246,737.727;-53.121,790.605;708.345,503.7;416.279,465.12;
0.152:330.542,-760.838;577.459,-405.991;-119.453,-241.617;-926.171,689.487;351.762,423.524;-264.2,-204.829;744.599,-902.649;37.108,792.201;314.959,918.255;435.962,154.415;-986.911,-786.614;-657.144,-34.106;-502.793,820.199;548.342,-909.717;955.414,537.065;-99.237,-698.808;-484.711,-380.981;269.371,-25.467;-768.649,515.481;-582.707,29.863;573.188,-759.878;378.422,896.349;346.44,-719.291;440.166,947.975;39.071,439.097;508.386,-444.666;336.077,694.732;973.051,798.078;-812.625,355.129;-154.411,-682.763;668.381,561.912;-796.925,107.073;342.018,-615.184;-125.066,741.547;439.901,-44.69;373.518,174.066;149.914,-821.648;-328.405,117.849;834.1,79.179;254.113,-565.063;-915.938,76.995;-951.682,-533.601;-304.189,180.15;375.046,844.216;-704.579,-347.585;399.438,-443.889;664.35,739.317;-54.67,789.42;707.955,505.596;416.174,463.187;
0.16:331.789,-761.862;576.402,-407.211;-120.428,-240.331;-924.831,690.386;350.858,422.186;-264.203,-203.216;746.084,-902.016;35.883,793.252;316.223,917.222;434.381,154.095;-985.476,-787.354;-655.539,-33.935;-501.372,819.433;549.419,-908.516;956.715,536.11;-99.567,-697.229;-483.758,-379.678;270.49,-24.278;-768.213,517.035;-581.817,28.517;573.239,-758.265;380.017,896.604;345.467,-718.004;440.32,946.368;40.488,439.869;508.375,-443.052;334.95,693.577;971.654,797.27;-812.28,353.552;-152.955,-682.067;668.15,563.527;-795.619,108.02;340.671,-616.073;-125.793,742.987;438.784,-43.525;371.982,173.57;149.603,-823.232;-326.833,117.495;835.664,78.783;255.426,-564.125;-915.475,75.449;-952.425,-532.168;-305.474,179.286;376.525,843.57;-705.817,-346.55;398.226,-444.954;665.27,740.643;-55.978,788.443;707.753,507.199;416.086,461.576;
0.168:333.022,-762.874;575.201,-408.137;-121.392,-239.059;-923.507,691.276;349.966,420.864;-264.205,-201.621;747.551,-901.39;34.673,794.292;317.596,916.423;432.817,153.778;-984.058,-788.084;-653.953,-33.767;-499.968,818.676;550.484,-907.328;958,535.167;-99.893,-695.667;-482.816,-378.39;271.599,-23.094;-767.783,518.571;-580.937,27.186;573.29,-756.671;381.592,896.855;344.505,-716.731;440.471,944.78;41.889,440.632;508.365,-441.457;333.836,692.435;970.273,796.471;-811.94,351.994;-151.516,-681.38;668.313,565.149;-794.328,108.957;339.339,-616.951;-126.512,744.411;437.679,-42.374;370.464,173.079;149.295,-824.797;-325.277,117.145;837.211,78.392;256.92,-563.562;-915.017,73.921;-953.159,-530.752;-306.792,178.398;377.987,842.932;-707.041,-345.527;397.028,-446.007;666.18,741.953;-57.257,787.487;707.553,508.782;416,459.983;
0.177:334.238,-763.873;573.962,-409.092;-122.342,-237.805;-922.2,692.153;349.085,419.56;-264.208,-200.047;748.998,-900.773;33.479,795.317;318.955,915.632;431.275,153.465;-982.659,-788.805;-652.388,-33.601;-498.583,817.93;551.535,-906.157;959.269,534.235;-100.215,-694.127;-481.888,-377.12;272.695,-21.917;-767.359,520.086;-580.07,25.874;573.34,-755.098;383.146,897.104;343.557,-715.476;440.621,943.214;43.271,441.385;508.354,-439.884;332.738,691.309;968.911,795.683;-811.604,350.456;-150.096,-680.701;668.699,566.726;-793.054,109.881;338.025,-617.817;-127.222,745.816;436.59,-41.239;368.967,172.596;148.992,-826.341;-323.742,116.8;838.736,78.005;258.392,-563.007;-914.566,72.414;-953.883,-529.355;-308.097,177.52;379.429,842.302;-708.248,-344.518;395.845,-447.045;667.077,743.246;-58.518,786.546;707.469,510.352;415.914,458.412;
0.185:335.481,-764.893;572.69,-410.073;-123.314,-236.524;-920.865,693.049;348.185,418.227;-264.211,-198.439;750.478,-900.142;32.077,796.172;320.345,914.824;429.699,153.146;-981.23,-789.541;-650.789,-33.432;-497.168,817.167;552.609,-904.96;960.565,533.284;-100.543,-692.553;-480.938,-375.822;273.818,-20.703;-766.925,521.635;-579.183,24.532;573.391,-753.491;384.734,897.357;342.587,-714.193;440.773,941.613;44.683,442.154;508.344,-438.276;331.615,690.157;967.519,794.878;-811.261,348.885;-148.645,-680.008;669.225,568.32;-791.753,110.826;336.683,-618.702;-127.946,747.251;435.477,-40.079;367.437,172.101;148.682,-827.919;-322.173,116.447;840.295,77.611;259.897,-562.44;-914.104,70.873;-954.623,-527.927;-309.431,176.622;380.902,841.658;-709.482,-343.486;394.6,-448.13;667.994,744.567;-59.806,785.583;707.384,511.958;415.827,456.806;
0.194:336.656,-765.858;571.486,-411.001;-124.232,-235.312;-919.603,693.896;347.334,416.967;-264.213,-196.919;751.876,-899.546;30.622,796.747;321.659,914.059;428.209,152.844;-979.878,-790.237;-649.277,-33.271;-495.829,816.445;553.624,-903.828;961.791,532.384;-100.854,-691.065;-480.041,-374.595;274.885,-19.542;-766.515,523.099;-578.344,23.264;573.439,-751.971;386.235,897.597;341.671,-712.98;440.918,940.1;46.018,442.882;507.924,-436.81;330.554,689.069;966.203,794.116;-810.937,347.4;-147.273,-679.353;669.796,569.823;-790.522,111.718;335.23,-619.236;-128.632,748.608;434.424,-38.981;365.99,171.634;148.39,-829.411;-320.69,116.114;841.769,77.238;261.32,-561.904;-913.668,69.417;-955.323,-526.578;-310.391,175.618;382.296,841.05;-710.648,-342.511;393.409,-449.162;668.861,745.816;-61.024,784.673;707.303,513.476;415.745,455.288;
0.202:337.807,-766.803;570.306,-411.91;-125.132,-234.126;-918.366,694.727;346.501,415.733;-264.215,-195.429;753.246,-898.961;29.229,797.298;322.946,913.31;426.749,152.548;-978.554,-790.92;-647.796,-33.114;-494.518,815.739;554.83,-902.872;962.991,531.503;-101.158,-689.607;-479.162,-373.393;275.935,-18.391;-766.113,524.533;-577.523,22.022;573.074,-750.523;387.706,897.832;340.773,-711.791;441.059,938.617;47.326,443.595;507.514,-435.378;329.514,688.003;964.914,793.371;-810.619,345.945;-145.929,-678.711;670.331,571.23;-789.316,112.593;333.969,-620.091;-129.303,749.938;433.393,-37.907;364.573,171.176;148.103,-830.872;-319.47,115.513;843.213,76.872;262.714,-561.379;-913.241,67.99;-956.008,-525.255;-311.4,174.563;383.66,840.454;-711.791,-341.556;392.229,-450.18;669.71,747.039;-62.218,783.782;707.224,514.963;415.664,453.801;
