0.008:-767.51,593.005;-202.857,-873.104;-53.682,-133.885;-951.964,-261.757;-120.518,-290.14;850.032,203.894;-829.402,238.563;144.261,269.265;940.123,-862.972;-246.437,-74.007;-620.472,-858.211;200.476,-292.459;-342.082,73.092;-314.92,504.257;581.53,605.09;-338.481,585.803;-54.964,-38.057;448.775,517.808;-488.083,727.226;314.31,-339.396;-438.887,953.856;468.307,937.742;-62.593,762.627;-595.141,-439.07;-456.404,-383.77;-971.007,400.495;-788.934,-543.016;5.768,-313.517;-112.766,-105.258;769.951,-268.96;-923.399,633.656;-366.924,356.12;-526.414,-675.832;426.008,-283.181;723.563,29.084;-886.349,206.336;251.015,489.303;-179.601,130.528;91.403,-620.96;-297.525,839.656;-335.917,-264.077;-893.552,4.12;-575.243,-245.338;449.507,723.136;-666.494,-868.343;260.17,-848.079;-922.239,147.984;-182.897,336.833;-14.313,-322.733;822.26,944.273;
0.135:-768.758,591.901;-201.513,-872.117;-52.035,-134.137;-953.63,-261.784;-121.964,-289.311;849.36,205.419;-830.919,237.875;144.713,270.869;940.557,-864.581;-247.912,-73.232;-620.18,-856.57;198.811,-292.398;-342.858,71.617;-314.26,505.788;582.875,606.075;-337.039,584.967;-53.768,-36.895;447.292,517.047;-487.329,725.739;315.644,-338.398;-439.329,952.249;466.817,936.994;-64.246,762.41;-595.201,-440.735;-456.384,-385.437;-970.672,402.127;-787.29,-543.29;7.231,-314.315;-114.196,-106.114;768.5,-269.779;-923.469,635.321;-367.969,354.822;-528.078,-675.753;425.657,-284.81;724.275,27.577;-885.822,207.917;250.287,487.804;-178.738,131.953;90.736,-622.488;-296.46,838.374;-335.238,-262.555;-894.417,5.544;-575.969,-246.839;450.655,721.928;-665.609,-866.931;260.253,-846.414;-920.631,148.424;-181.272,336.464;-13.543,-324.211;823.008,945.762;
0.144:-773.747,587.49;-196.147,-868.175;-45.452,-135.143;-960.288,-261.892;-127.983,-286.46;846.677,211.513;-837.428,236.499;146.518,277.279;942.293,-871.009;-253.807,-70.135;-619.013,-850.014;192.156,-292.153;-345.96,65.725;-311.622,511.901;588.248,610.008;-331.277,581.629;-48.992,-32.256;441.368,514.006;-484.317,719.8;320.975,-334.407;-441.096,945.829;460.868,934.003;-70.848,761.545;-595.438,-447.39;-456.305,-392.095;-969.337,408.653;-780.722,-544.385;13.219,-317.229;-119.911,-109.532;762.701,-273.051;-923.75,641.974;-372.143,349.634;-534.508,-674.018;424.254,-291.32;727.12,21.556;-883.716,214.234;247.377,481.812;-175.29,137.65;88.074,-628.591;-292.206,833.251;-331.778,-256.863;-897.875,11.235;-578.868,-252.833;455.24,717.099;-663.587,-860.588;260.586,-839.764;-913.974,148.544;-174.779,334.989;-10.979,-330.356;825.998,951.713;
0.153:-775.142,586.256;-194.646,-867.072;-43.711,-135.822;-962.15,-261.923;-129.666,-285.663;845.926,213.218;-839.25,236.114;147.022,279.071;942.779,-872.807;-255.456,-69.269;-618.687,-848.181;190.295,-292.084;-346.828,64.077;-310.49,513.37;589.751,611.108;-329.506,581.101;-47.656,-30.958;439.562,513.588;-483.475,718.139;322.465,-333.291;-441.59,944.034;459.204,933.167;-72.695,761.303;-595.504,-449.251;-456.282,-393.957;-968.964,410.491;-778.885,-544.691;14.923,-317.993;-121.65,-110.228;761.079,-273.966;-923.829,643.834;-373.31,348.183;-536.306,-673.532;423.862,-293.14;727.915,19.873;-884.073,216.009;246.555,480.126;-174.326,139.243;87.329,-630.298;-291.016,831.819;-330.81,-255.272;-898.708,12.915;-579.679,-254.509;456.299,715.554;-663.021,-858.814;260.679,-837.904;-912.13,148.876;-172.963,334.577;-10.381,-332.117;826.834,953.376;
0.161:-776.392,585.15;-193.301,-866.084;-42.154,-136.428;-963.82,-261.95;-130.945,-284.587;845.253,214.746;-840.884,235.769;147.475,280.678;943.214,-874.419;-257.084,-68.895;-618.394,-846.537;188.627,-292.023;-347.605,62.6;-309.471,514.692;591.098,612.094;-327.907,580.624;-46.458,-29.795;437.936,513.212;-482.72,716.65;323.802,-332.29;-442.034,942.424;457.712,932.417;-74.35,761.086;-595.563,-450.92;-456.262,-395.627;-968.631,412.148;-777.238,-544.965;16.464,-318.651;-123.201,-110.848;759.625,-274.787;-923.899,645.503;-374.357,346.882;-537.918,-673.097;423.51,-294.772;728.628,18.363;-884.401,217.643;245.813,478.608;-173.462,140.672;86.661,-631.828;-289.949,830.534;-329.815,-253.909;-899.449,14.412;-580.406,-256.013;457.243,714.176;-662.514,-857.223;260.762,-836.236;-910.464,148.745;-171.335,334.207;-9.935,-333.722;827.583,954.868;
0.17:-777.595,584.087;-192.007,-865.134;-40.659,-137.011;-965.424,-261.976;-132.174,-283.555;844.606,216.215;-842.454,235.437;147.91,282.223;943.633,-875.969;-258.648,-68.535;-618.113,-844.957;187.023,-291.964;-348.353,61.179;-308.491,515.963;592.393,613.042;-326.369,580.166;-45.307,-28.677;436.373,512.849;-481.994,715.219;325.087,-331.328;-442.459,940.876;456.278,931.696;-75.942,760.877;-595.621,-452.524;-456.243,-397.232;-968.313,413.748;-775.655,-545.229;17.952,-319.269;-124.691,-111.444;758.227,-275.576;-923.967,647.106;-375.363,345.631;-539.468,-672.679;423.172,-296.341;729.314,16.912;-884.717,219.216;245.095,477.143;-172.631,142.045;86.019,-633.299;-288.924,829.299;-328.867,-252.612;-900.162,15.85;-581.105,-257.457;458.15,712.852;-662.027,-855.694;260.842,-834.633;-908.927,149.015;-169.769,333.851;-9.578,-335.283;828.304,956.303;
0.178:-778.84,582.986;-190.668,-864.149;-39.11,-137.614;-967.087,-262.003;-133.446,-282.485;843.936,217.736;-844.08,235.094;148.361,283.823;944.066,-877.573;-260.268,-68.162;-617.821,-843.32;185.362,-291.903;-349.128,59.708;-307.476,517.279;593.735,614.024;-324.776,579.691;-44.115,-27.519;434.753,512.474;-481.242,713.736;326.418,-330.332;-442.901,939.274;454.793,930.95;-77.59,760.661;-595.68,-454.185;-456.223,-398.894;-967.984,415.415;-774.015,-545.503;19.498,-319.901;-126.021,-112.444;756.779,-276.393;-924.037,648.767;-376.405,344.336;-541.146,-672.618;422.821,-297.966;730.024,15.409;-885.045,220.846;244.344,475.619;-171.77,143.467;85.355,-634.823;-288.074,827.839;-327.887,-251.27;-900.789,17.426;-581.829,-258.954;459.089,711.48;-661.522,-854.11;260.925,-832.973;-907.275,148.863;-168.148,333.483;-9.207,-336.903;829.05,957.788;
0.187:-780.031,581.932;-189.42,-863.233;-37.668,-138.176;-968.634,-262.028;-134.631,-281.489;843.312,219.152;-845.594,234.773;148.78,285.313;944.469,-879.068;-261.776,-67.815;-617.55,-841.797;183.815,-291.846;-349.848,58.339;-306.53,518.505;594.984,614.938;-323.293,579.248;-43.004,-26.44;433.245,512.125;-480.542,712.356;327.657,-329.404;-443.311,937.781;453.41,930.255;-79.176,760.6;-595.735,-455.732;-456.204,-400.441;-967.679,416.978;-772.488,-545.757;20.944,-320.479;-127.258,-113.375;755.431,-277.153;-924.103,650.313;-377.375,343.13;-542.695,-672.561;422.495,-299.479;730.685,14.009;-885.35,222.363;243.639,474.191;-170.968,144.791;84.736,-636.241;-287.295,826.498;-326.974,-250.02;-901.362,18.868;-582.503,-260.347;459.964,710.203;-661.052,-852.636;261.002,-831.427;-905.735,148.722;-166.639,333.14;-8.862,-338.412;829.745,959.171;
0.195:-781.212,580.889;-188.196,-862.333;-36.252,-138.728;-970.154,-262.052;-135.794,-280.511;842.7,220.543;-846.927,234.982;149.192,286.776;944.866,-880.535;-263.257,-67.474;-617.284,-840.3;182.296,-291.79;-350.556,56.994;-305.395,519.467;596.21,615.836;-321.837,578.814;-41.914,-25.381;431.765,511.782;-479.716,711.022;328.873,-328.494;-443.715,936.316;452.052,929.572;-80.701,760.541;-595.789,-457.25;-456.186,-401.961;-967.38,418.525;-770.989,-546.007;22.373,-321.034;-128.473,-114.288;754.108,-277.9;-924.167,651.832;-378.328,341.946;-544.215,-672.506;422.175,-300.965;731.334,12.635;-885.649,223.853;242.939,472.779;-170.181,146.091;84.128,-637.634;-286.53,825.183;-326.077,-248.792;-901.924,20.28;-583.164,-261.715;460.823,708.949;-660.59,-851.188;261.078,-829.909;-904.221,148.583;-165.157,332.804;-8.523,-339.894;830.427,960.529;
0.203:-782.381,579.859;-186.996,-861.452;-34.865,-139.269;-971.642,-262.077;-136.934,-279.553;842.1,221.906;-848.052,235.87;149.596,288.209;945.254,-881.972;-264.708,-67.141;-617.023,-838.834;180.808,-291.735;-351.25,55.677;-304.264,520.425;597.411,616.715;-320.41,578.389;-40.846,-24.344;430.252,511.44;-478.928,709.747;330.065,-327.601;-444.11,934.881;450.722,928.904;-82.19,760.484;-595.842,-458.738;-456.168,-403.45;-967.087,420.056;-769.521,-546.252;23.781,-321.562;-129.663,-115.183;752.811,-278.632;-923.83,653.247;-379.261,340.786;-545.703,-672.451;421.861,-302.421;731.97,11.289;-885.943,225.313;242.245,471.384;-169.41,147.365;83.533,-638.999;-285.782,823.896;-325.199,-247.59;-902.474,21.664;-583.813,-263.056;461.664,707.721;-660.138,-849.769;261.153,-828.422;-902.739,148.447;-163.705,332.474;-8.191,-341.345;831.096,961.859;
