0.008:-900.449,-283.853;-468.856,-710.807;45.259,119.358;-674.795,4.791;-415.876,120.823;957.945,956.847;-636.158,-829.096;827.815,-149.144;770.989,206.946;-293.191,-149.51;470.382,-216.224;-249.123,-704.215;-441.267,-635.365;-407.819,-824.152;517.991,-790.582;201.392,292.52;-842.219,-701.468;-793.268,-946.959;-266.701,728.874;357.708,-170.629;426.374,20.234;-179.601,821.1;-622.608,-230.323;-6.928,-640.187;456.099,90.426;528.306,-407.331;956.786,273.72;-750.664,482.04;408.368,-889.035;649.586,-941.099;684.133,-686.453;660.146,868.648;600.085,467.33;-624.378,544.053;-810.724,-39.705;424.177,446.455;839.473,320.414;668.752,309.793;480.636,400.495;929.197,-173.803;12.238,849.116;-589.831,-889.401;155.187,-696.768;524.827,981.994;917.478,-257.851;799.066,-2.106;860.469,-562.304;546.556,181.188;353.496,-59.236;-999.756,374.92;
0.134:-901.37,-282.464;-467.647,-711.954;45.239,117.691;-674.707,3.127;-417.149,121.898;959.159,955.704;-637.689,-829.756;828.838,-150.459;772.588,207.416;-294.738,-150.131;471.356,-217.576;-249.966,-705.652;-442.726,-636.171;-406.41,-823.262;517.059,-791.964;200.313,291.25;-841.768,-703.072;-794.432,-948.151;-265.801,730.276;356.055,-170.414;427.136,21.716;-179.358,819.452;-622.919,-231.96;-8.1,-641.371;457.593,91.166;529.595,-408.387;957.38,275.278;-749.044,482.432;406.871,-888.302;648.645,-942.474;682.764,-687.403;661.72,869.197;598.955,466.105;-623.34,542.749;-812.021,-38.658;425.843,446.422;840.845,321.359;667.6,310.997;481.423,399.025;930.499,-174.844;10.89,848.137;-588.244,-888.891;156.499,-697.795;523.882,983.367;919.073,-257.37;800.733,-2.113;859.411,-563.591;546.611,182.854;351.852,-59.511;-999.818,376.585;
0.144:-905.052,-276.915;-462.816,-716.536;45.159,111.033;-674.354,-3.522;-422.238,126.192;964.006,951.138;-643.804,-832.391;832.971,-155.683;778.977,209.293;-300.918,-152.61;475.249,-222.978;-253.333,-711.397;-447.722,-640.575;-400.782,-819.702;513.338,-797.486;196.002,286.174;-839.963,-709.482;-799.086,-952.913;-262.206,735.881;349.451,-169.557;430.107,27.678;-178.387,812.864;-624.163,-238.502;-12.785,-646.103;463.56,94.121;534.747,-412.605;959.752,281.5;-742.573,484.001;400.891,-885.374;644.881,-947.968;677.292,-691.198;668.008,871.387;594.438,461.213;-619.194,537.539;-817.201,-34.474;432.501,446.291;846.329,325.136;662.995,315.807;484.566,393.155;935.7,-179.002;5.502,844.223;-581.904,-886.855;161.743,-701.899;520.105,988.851;925.449,-255.446;807.392,-2.141;855.181,-568.734;546.83,189.509;345.284,-60.61;-1,000.064,383.24;
0.152:-906.144,-275.269;-461.382,-717.896;45.136,109.057;-674.249,-5.496;-423.749,127.467;965.444,949.783;-645.62,-833.172;834.197,-157.233;780.873,209.85;-302.752,-153.346;476.404,-224.582;-254.477,-713.026;-449.204,-641.882;-399.381,-818.299;512.233,-799.125;194.711,284.659;-839.427,-711.384;-800.467,-954.327;-261.139,737.545;347.491,-169.303;431.201,29.32;-178.098,810.909;-624.532,-240.444;-14.176,-647.508;465.268,95.142;536.276,-413.858;960.457,283.346;-740.652,484.466;399.116,-884.505;643.764,-949.598;675.669,-692.324;669.874,872.038;593.097,459.761;-617.964,535.992;-818.739,-33.233;434.477,446.252;847.957,326.257;661.508,317.13;485.499,391.413;937.243,-180.236;3.903,843.062;-580.023,-886.251;163.3,-703.117;518.985,990.479;927.341,-254.875;809.368,-2.149;853.925,-570.26;546.895,191.485;343.335,-60.936;-1,000.137,385.215;
0.161:-907.036,-273.924;-460.211,-719.007;45.116,107.444;-674.164,-7.107;-424.982,128.507;966.619,948.677;-647.101,-833.811;835.198,-158.498;782.421,210.305;-304.25,-153.947;477.347,-225.891;-255.404,-714.347;-450.415,-642.949;-398.24,-817.157;511.332,-800.463;193.652,283.416;-838.99,-712.937;-801.595,-955.481;-260.268,738.903;345.891,-169.095;432.096,30.663;-177.863,809.313;-624.833,-242.029;-15.311,-648.654;466.654,95.97;537.524,-414.88;961.031,284.854;-739.084,484.846;397.667,-883.796;642.853,-950.929;674.343,-693.244;671.398,872.568;592.002,458.576;-616.959,534.73;-819.994,-32.219;436.08,445.967;849.286,327.172;660.38,318.31;486.261,389.99;938.503,-181.244;2.598,842.113;-578.487,-885.758;164.57,-704.111;518.07,991.808;928.885,-254.409;810.981,-2.156;852.9,-571.506;546.948,193.097;341.744,-61.202;-1,000.197,386.827;
0.169:-907.918,-272.595;-459.054,-720.104;45.097,105.849;-674.079,-8.699;-426.2,129.536;967.78,947.584;-648.566,-834.442;836.188,-159.749;783.951,210.754;-305.73,-154.54;478.279,-227.185;-256.32,-715.653;-451.611,-644.003;-397.113,-816.029;510.44,-801.785;192.602,282.181;-838.558,-714.472;-802.71,-956.621;-259.407,740.245;344.31,-168.89;432.98,31.99;-177.63,807.735;-625.131,-243.595;-16.433,-649.787;468.023,96.788;538.758,-415.89;961.6,286.344;-737.534,485.222;396.234,-883.095;641.952,-952.245;673.033,-694.153;672.904,873.093;590.921,457.404;-615.966,533.482;-821.235,-31.217;437.651,445.688;850.599,328.076;659.164,319.381;487.351,388.825;939.749,-182.24;1.308,841.176;-576.968,-885.27;165.826,-705.094;517.166,993.122;930.412,-253.949;812.576,-2.162;851.888,-572.737;547.001,194.691;340.171,-61.465;-1,000.256,388.42;
0.177:-908.788,-271.285;-457.913,-721.187;45.078,104.276;-673.996,-10.27;-427.402,130.55;968.924,946.505;-650.01,-835.064;837.163,-160.982;785.46,211.198;-307.19,-155.126;479.199,-228.461;-257.223,-716.94;-452.791,-645.043;-396.001,-814.917;509.561,-803.089;191.563,280.954;-838.131,-715.986;-803.809,-957.746;-258.557,741.569;342.75,-168.688;433.877,33.322;-177.401,806.179;-625.424,-245.141;-17.539,-650.905;469.373,97.595;539.975,-416.887;962.16,287.813;-736.005,485.593;395.062,-882.075;641.063,-953.542;671.74,-695.049;674.389,873.61;589.854,456.249;-614.987,532.251;-822.459,-30.229;439.2,445.413;851.895,328.968;658.048,320.536;488.547,387.755;940.977,-183.222;-0.071,840.356;-575.471,-884.789;167.065,-706.063;516.274,994.417;931.918,-253.494;814.149,-2.169;850.888,-573.952;547.052,196.263;338.62,-61.725;-1,000.314,389.992;
0.186:-909.668,-269.958;-456.758,-722.283;45.059,102.684;-673.912,-11.86;-428.62,131.577;970.084,945.413;-651.473,-835.694;838.151,-162.231;786.988,211.647;-308.668,-155.719;480.13,-229.753;-258.138,-718.244;-453.828,-646.298;-394.876,-813.79;508.671,-804.41;190.506,279.701;-837.7,-717.519;-804.922,-958.885;-257.698,742.909;341.171,-168.483;434.796,34.678;-177.168,804.604;-625.722,-246.705;-18.66,-652.037;470.74,98.412;541.207,-417.896;962.727,289.301;-734.458,485.968;393.862,-881.032;640.163,-954.856;670.393,-695.976;675.893,874.134;588.773,455.078;-613.996,531.005;-823.698,-29.228;440.768,445.134;853.206,329.872;656.812,321.608;489.738,386.691;942.221,-184.216;-1.443,839.539;-573.955,-884.302;168.319,-707.044;515.37,995.729;933.442,-253.034;815.741,-2.175;849.877,-575.182;547.105,197.855;337.049,-61.988;-1,000.373,391.584;
0.194:-910.508,-268.691;-455.655,-723.329;45.041,101.164;-673.831,-13.378;-429.781,132.557;971.19,944.371;-652.869,-836.296;839.094,-163.423;788.446,212.075;-310.078,-156.285;481.018,-230.986;-259.011,-719.488;-454.799,-647.474;-393.802,-812.715;507.69,-805.634;189.493,278.494;-837.288,-718.982;-805.984,-959.972;-256.877,744.188;339.664,-168.287;435.682,35.982;-176.947,803.1;-626.006,-248.198;-19.729,-653.117;472.044,99.192;542.383,-418.859;963.269,290.721;-732.981,486.326;392.715,-880.035;639.304,-956.11;669.092,-696.866;677.328,874.634;587.742,453.962;-613.049,529.816;-824.88,-28.274;442.265,444.869;854.458,330.734;655.711,322.732;490.872,385.678;943.408,-185.166;-2.75,838.762;-572.508,-883.837;169.516,-707.981;514.509,996.981;934.898,-252.595;817.261,-2.182;848.911,-576.356;547.155,199.374;335.55,-62.239;-1,000.429,393.103;
0.202:-911.332,-267.451;-454.575,-724.353;45.023,99.675;-673.752,-14.865;-430.919,133.518;972.274,943.35;-654.236,-836.885;840.018,-164.591;789.875,212.495;-311.46,-156.839;481.888,-232.194;-259.866,-720.706;-455.748,-648.622;-392.75,-811.661;506.753,-806.803;188.496,277.297;-836.884,-720.415;-807.025,-961.037;-255.94,745.422;338.187,-168.096;436.559,37.27;-176.729,801.627;-626.284,-249.661;-20.777,-654.175;473.302,100.095;543.535,-419.802;963.8,292.112;-731.534,486.677;391.592,-879.058;638.462,-957.339;667.804,-697.743;678.734,875.124;586.732,452.868;-612.122,528.651;-826.039,-27.338;443.731,444.608;855.684,331.578;654.434,323.593;491.982,384.686;944.571,-186.095;-4.029,838;-571.09,-883.382;170.689,-708.898;513.664,998.207;936.323,-252.165;818.75,-2.188;847.966,-577.506;547.204,200.862;334.082,-62.484;-1,000.484,394.59;
